STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,MONTH,DAY_WEEK,ROUTE,MAN_COLL,DRUNK_DR,FATALS
California,61570,1,1,0,0,September,Saturday,9,0,1,1
California,61571,2,2,0,1,October,Saturday,9,0,0,1
California,61572,1,1,0,1,January,Thrusday,9,0,0,1
California,61573,5,2,3,0,July,Saturday,9,0,0,1
California,61574,1,1,0,1,March,Wednesday,9,0,0,1
California,61575,4,4,0,0,October,Tuesday,3,8,0,1
California,61576,2,2,0,0,June,Friday,9,0,0,1
California,61577,1,1,0,1,May,Saturday,9,0,0,1
California,61578,1,1,0,1,May,Thrusday,9,0,0,1
California,61579,3,1,2,0,July,Tuesday,9,0,0,1
California,61580,2,2,0,1,March,Wednesday,1,0,0,1
California,61581,4,4,0,0,June,Wednesday,3,7,0,1
California,61582,1,1,0,0,July,Wednesday,1,0,0,1
California,61583,1,1,0,0,May,Thrusday,3,0,0,1
California,61584,1,1,0,1,August,Wednesday,2,0,0,1
California,61585,3,3,0,0,June,Friday,1,1,0,1
California,61586,2,1,1,1,August,Tuesday,1,0,0,1
California,61587,3,3,0,0,June,Friday,1,1,0,1
California,61588,1,1,0,0,September,Sunday,1,0,1,1
California,61589,4,4,0,0,August,Sunday,2,2,0,1
California,61590,2,2,0,0,October,Wednesday,3,6,0,1
California,61591,3,3,0,0,June,Wednesday,1,7,0,2
California,61592,2,2,0,0,July,Tuesday,9,6,0,1
California,61593,1,1,0,1,August,Saturday,9,0,0,1
California,61594,1,1,0,1,June,Saturday,9,0,0,1
California,61595,1,1,0,0,May,Friday,3,0,1,1
California,61596,2,2,0,0,June,Sunday,2,8,1,1
California,61597,1,1,0,1,March,Sunday,1,0,0,1
California,61598,1,1,0,0,July,Friday,3,0,0,1
California,61599,1,1,0,0,July,Thrusday,1,0,0,1
California,61600,1,1,0,0,July,Saturday,3,0,1,1
California,61601,3,3,0,0,June,Saturday,1,7,0,2
California,61602,1,1,0,0,July,Friday,3,0,0,1
California,61603,3,3,0,0,August,Tuesday,3,1,0,1
California,61604,2,2,0,0,September,Sunday,3,6,0,1
California,61605,1,1,0,0,October,Tuesday,9,0,0,1
California,61606,2,2,0,0,January,Monday,1,7,1,1
California,61607,2,2,0,0,July,Sunday,9,2,0,1
California,61608,2,2,0,0,August,Friday,9,6,0,1
California,61609,2,2,0,0,April,Wednesday,9,6,0,1
California,61610,1,1,0,1,August,Friday,9,0,0,1
California,61611,1,1,0,0,August,Sunday,9,0,1,1
California,61612,2,2,0,0,September,Saturday,3,8,0,1
California,61613,1,1,0,0,September,Friday,1,0,0,1
California,61614,1,1,0,0,September,Wednesday,9,0,0,1
California,61615,1,1,0,0,September,Saturday,9,0,1,2
California,61616,2,2,0,0,July,Monday,9,2,1,1
California,61617,1,1,0,1,June,Thrusday,9,0,0,1
California,61618,2,2,0,1,August,Wednesday,6,0,0,1
California,61619,1,1,0,0,May,Wednesday,3,0,0,1
California,61620,2,2,0,0,August,Thrusday,3,2,0,1
California,61621,2,2,0,0,June,Monday,3,0,0,1
California,61622,1,1,0,0,June,Monday,1,0,1,1
California,61623,1,1,0,0,September,Saturday,3,0,0,1
California,61624,1,1,0,0,September,Tuesday,3,0,0,1
California,61625,2,2,0,0,February,Monday,3,2,0,1
California,61627,2,2,0,0,September,Thrusday,1,1,0,1
California,61628,1,1,0,1,July,Friday,9,0,0,1
California,61629,2,1,1,0,March,Friday,6,0,0,2
California,61630,2,1,1,1,August,Monday,9,0,0,1
California,61631,1,1,0,1,January,Friday,9,0,0,1
California,61632,1,1,0,1,August,Wednesday,9,0,0,1
California,61633,2,2,0,1,February,Friday,9,0,1,1
California,61634,1,1,0,0,September,Monday,1,0,0,1
California,61635,5,5,0,0,June,Thrusday,9,1,0,1
California,61636,4,4,0,0,April,Monday,6,7,0,1
California,61637,1,1,0,1,August,Wednesday,6,0,0,1
California,61638,2,2,0,1,July,Thrusday,9,6,1,1
California,61639,2,2,0,0,July,Sunday,9,6,0,1
California,61640,1,1,0,1,August,Thrusday,9,0,0,1
California,61641,1,1,0,1,January,Friday,9,0,0,1
California,61642,2,2,0,0,August,Thrusday,9,2,0,1
California,61644,2,1,1,0,July,Monday,1,0,0,1
California,61645,1,1,0,1,July,Sunday,3,0,0,1
California,61646,3,3,0,0,July,Tuesday,1,1,0,2
California,61647,2,2,0,0,August,Wednesday,3,7,0,1
